GUID,IfcClass,ElementName,Description,ObjectType,Tag,TypeName,BuildingStorey,HasGeometry
2jxHTeORDBtfrdAmhYomAJ,IfcCovering,wandtegelwerk,,,ADED1768-61B3-4BDE-9D67-2B0AE2CB0293,IFC_wandtegels_250x200 10,00 begane grond,True
2oGuM38Qz78ODUKOfCB2Dt,IfcCovering,wandtegelwerk,,,B2438583-21AF-4721-835E-518A4C2C2377,IFC_wandtegels_250x200 10,00 begane grond,True
099D7ZtFb1hufN_3w3DMzZ,IfcCovering,vloertegelwerk,,,0924D1E3-DCF9-41AF-8A57-F83E83356F63,IFC_vloertegels_200x200 10,00 begane grond,True
0UQV07lBP76BzsyFYucDre,IfcCovering,wandtegelwerk+,,,1E69F007-BCB6-4718-BF76-F0F8B898DD68,IFC_wandtegels_250x200 10,00 begane grond,True
0VATVlRb19yfxAXdeM2XKA,IfcCovering,wandtegelwerk,,,1F29D7EF-6E50-49F2-9ECA-867A160A150A,IFC_wandtegels_250x200 10,00 begane grond,True
2zuuY$yE97E8B0IIRLN3Hp,IfcCovering,wandtegelwerk,,,BDE388BF-F0E2-4738-82C0-4926D55C3473,IFC_wandtegels_250x200 10,00 begane grond,True
02AP6fTg9CIxeYIOpMoqLB,IfcCovering,wandtegelwerk,,,022991A9-76A2-4C4B-BA22-498CD6CB454B,IFC_wandtegels_250x200 10,00 begane grond,True
1PxVK$n6DAPfpuHK5rhWCm,IfcCovering,vloertegelwerk,,,59EDF53F-C463-4A66-9CF8-454175AE0330,IFC_vloertegels_200x200 10,00 begane grond,True
0mT$Rs_TP7KhKkbup_b3$B,IfcCovering,wandtegelwerk,,,3077F6F6-F9D6-4752-B52E-978CFE943FCB,IFC_wandtegels_250x200 10,00 begane grond,True
38d$pyjuD07P1Gq8jWu0RT,IfcCovering,wandtegelwerk,,,C89FFCFC-B783-401D-9050-D08B60E006DD,IFC_wandtegels_250x200 10,00 begane grond,True
2leudFn4L5D80NgD70QX_z,IfcCovering,wandtegelwerk,,,AFA389CF-C445-4534-8017-A8D1C06A1FBD,IFC_wandtegels_250x200 10,00 begane grond,True
1mOzw6XMjCJfpynvRPT1Cz,IfcCovering,wandtegelwerk,,,7063DE86-856B-4C4E-9CFC-C796D974133D,IFC_wandtegels_250x200 10,00 begane grond,True
2kltNa7Yf4euGd1IofjwnO,IfcCovering,wandtegelwerk,,,AEBF75E4-1E2A-44A3-8427-052CA9B7AC58,IFC_wandtegels_250x200 10,00 begane grond,True
1SaZ7ED7D7kAPv$L$IVKaa,IfcCovering,wandtegelwerk,,,5C9231CE-3473-47B8-A679-FD5FD27D4924,IFC_wandtegels_250x200 10,00 begane grond,True
10nNL1Tz980wuinCcykWNM,IfcCovering,wandtegelwerk,,,40C57541-77D2-4803-AE2C-C4C9BCBA05D6,IFC_wandtegels_250x200 10,00 begane grond,True
15Z3WayYHCXwn9DFh1N60W,IfcCovering,wandtegelwerk,,,458C3824-F224-4C87-AC49-34FAC15C6020,IFC_wandtegels_250x200 10,00 begane grond,True
1wX4XbAN117wjbmE5FFKEn,IfcCovering,wandtegelwerk,,,7A844865-2970-411F-AB65-C0E14F3D43B1,IFC_wandtegels_250x200 10,00 begane grond,True
3YLr44W_T0$hR$y7rYh5os,IfcCovering,wandtegelwerk,,,E2575104-83E7-40FE-B6FF-F07D62AC5CB6,IFC_wandtegels_250x200 10,00 begane grond,True
