GUID,IfcClass,ElementName,Description,ObjectType,Tag,TypeName,BuildingStorey,HasGeometry
0MGiIdPGj6Dw47j1gUVoAK,IfcBeam,betonlatei_(#825575),,,69C09901-93F3-4BB5-BE88-37E9144D0297,,Storey-1,True
1DzdotTEjBFwCsyuoZOcf1,IfcBeam,L150/100/10 (?)_(#380269),,,37A9A01D-EB3B-444F-9024-23CF32C5C71A,,Storey-1,True
0iFMbV8sL4nf9WVdq8tGzc,IfcBeam,staallatei ??_(#498423),,,650CC430-972C-40FA-A1F5-4B014E775472,,Storey-1,True
1JvhXgKdrA9f$ihQ6BVwRu,IfcBeam,staallatei ??_(#499083),,,FD4B06F1-CDB1-4466-B2EE-85507B4A27E5,,Storey-1,True
2r_rbF5BHDsvim7OmE_08i,IfcBeam,L150/100/10 (?)_(#345263),,,311E5098-8D31-40A7-9BF4-6C00346F4750,,Storey-1,True
1HjDHDVv17gOxwsUWfqZEx,IfcBeam,staallatei ??_(#497983),,,BF14112E-1029-4B42-AF3F-74BBA57B923D,,Storey-1,True
0tDHTIAFHAExG9bv38sVSZ,IfcBeam,staallatei ??_(#498643),,,0FDA9BC1-6D00-4B99-B33D-AA56EC94E7CF,,Storey-1,True
0tJiihhSf5fQTh3OlemKlY,IfcBeam,HEB220_(#564452),,,43BD44EE-2D7D-434A-BF6C-ABE09106B5B0,,Storey-1,True
1RucBYpjbA89nKCk9MMR64,IfcBeam,staallatei ??_(#508528),,,322DB3F9-90A5-4155-BA26-04D29E82387B,,Storey-1,True
1z6I$GHqj3aQM8jBdt_j1h,IfcBeam,staallatei ??_(#504253),,,9D249773-ABA3-45D4-BA8B-243F41051A53,,Storey-1,True
1VOOdZVXTCfOZQQhMP0MqU,IfcBeam,staallatei ??_(#497763),,,B8909580-DA4E-4E0E-BC84-F68B4CA1C297,,Storey-1,True
3Qrkx4gFvENxRu4ycu9R6P,IfcBeam,staallatei ??_(#498203),,,8B381FA2-EB31-41D3-AAC9-8DE4DA52BB88,,Storey-1,True
